Ticker,Type,Code,Link
SMT,Share,SMT.XLON,https://www.londonstockexchange.com/stock/SMT/scottish-mortgage-investment-trust-plc/company-page?lang=en
MSCI_USA_Islamic,Share,ISUS.XLON,https://www.londonstockexchange.com/stock/ISUS/ishares/company-page?lang=en
MSCI_World_Islamic,Share,ISWD.XLON,https://www.londonstockexchange.com/stock/ISWD/ishares/company-page?lang=en
US_Tech_Sector,Share,IITU.XLON,https://www.londonstockexchange.com/stock/IITU/ishares/company-page?lang=en
Physical_Gold,Share,SGLN.XLON,https://www.londonstockexchange.com/stock/SGLN/ishares/company-page
Shell,Share,SHEL.XLON,https://www.londonstockexchange.com/stock/SHEL/shell-plc/company-page
Global_Clean_Energy,Share,INRG.XLON,https://www.londonstockexchange.com/stock/INRG/ishares/company-page?lang=en
BP,Share,BP.XLON,https://www.londonstockexchange.com/stock/BP./bp-plc/company-page?lang=en
Physical_Silver,Share,PHSP.XLON,https://www.londonstockexchange.com/stock/PHSP/wisdomtree/company-page
Antofagasta,Share,ANTO.XLON,https://www.londonstockexchange.com/stock/ANTO/antofagasta-plc/company-page
BT,Share,BT-A.XLON,https://www.londonstockexchange.com/stock/BT.A/bt-group-plc/company-page?lang=en
Walgreen_Boots,Share,WBA,https://www.londonstockexchange.com/market-stock/0LSZ/walgreens-boots-alliance-inc/overview
S_P_500_Health_Care,Share,IHCU.XLON,https://www.londonstockexchange.com/stock/IHCU/ishares/company-page
Physical_Platinum,Share,SPLT.XLON,https://www.londonstockexchange.com/stock/SPLT/ishares/company-page
Alibaba,Share,BABA,https://www.londonstockexchange.com/market-stock/0HCI/alibaba-group-holding-ltd/overview
Intel,Share,INTC,https://www.londonstockexchange.com/market-stock/0R24/intel-corp/overview
Glencore,Share,GLEN.XLON,https://www.londonstockexchange.com/stock/GLEN/glencore-plc/company-page
Rio_Tinto,Share,RIO.XLON,https://www.londonstockexchange.com/stock/RIO/rio-tinto-plc/company-page
Greatland_Gold,Share,GGP.XLON,https://www.londonstockexchange.com/stock/GGP/greatland-gold-plc/company-page
Countryside,Share,CSP.XLON,https://www.londonstockexchange.com/stock/CSP/countryside-properties-plc/company-page
Renewables_Infrastructure,Share,TRIG.XLON,https://www.londonstockexchange.com/stock/TRIG/the-renewables-infrastructure-group-limited/company-page
Coinbase,Share,COIN,https://uk.finance.yahoo.com/quote/COIN
Cash,Cash,,
Ballard_Power,Share,BLDP,https://www.londonstockexchange.com/market-stock/0QY5/ballard-power-systems-inc/overview
Oatly,Share,OTLY,https://uk.finance.yahoo.com/quote/OTLY
Schlumberger,Share,SLB,https://www.londonstockexchange.com/turquoise-stock/E:SLBN
PetroChina,Share,PTR,https://www.londonstockexchange.com/turquoise-stock/E:PTRN
Hochschild,Share,HOC.XLON,https://www.londonstockexchange.com/stock/HOC/hochschild-mining-plc/company-page
Lloyds,Share,LLOY.XLON,https://www.londonstockexchange.com/stock/LLOY/lloyds-banking-group-plc/company-page
Polymetal,Share,POLY.XLON,https://www.londonstockexchange.com/stock/POLY/polymetal-international-plc/company-page
Central_Asia_Metals,Share,CAML.XLON,https://www.londonstockexchange.com/stock/CAML/central-asia-metals-plc/company-page
PayPal,Share,PYPL,https://www.londonstockexchange.com/turquoise-stock/E:PYPLN
Amazon,Share,AMZN,https://www.londonstockexchange.com/market-stock/0R1O/amazon-com-inc/overview
Netflix,Share,NFLX,https://www.londonstockexchange.com/market-stock/0QYI/netflix-inc/overview
Babylon,Share,BBLN,https://uk.finance.yahoo.com/quote/BBLN
