Ticker,Action,Date,Number,Total
Cash,In,22/03/21,,5000
SMT,Buy,23/03/21,2,22.9
US_Tech_Sector,Buy,23/03/21,2,24.01
Physical_Gold,Buy,06/04/21,2,48.83
SMT,Buy,27/04/21,3,38.29
Shell,Buy,27/04/21,2,26.11
Global_Clean_Energy,Buy,27/04/21,4,40.64
BP,Buy,27/04/21,10,30.04
Physical_Gold,Buy,19/07/21,1,25.68
Global_Clean_Energy,Buy,19/07/21,3,27.24
S_P_500_Health_Care,Buy,19/07/21,9,63.45
Physical_Silver,Buy,19/07/21,2,34.48
Antofagasta,Buy,19/07/21,2,27.16
US_Tech_Sector,Buy,19/07/21,2,27.46
SMT,Buy,19/07/21,2,25.82
BT,Buy,19/07/21,16,29.27
Walgreen_Boots,Buy,19/07/21,0.74796747,24.96
Walgreen_Boots,Buy,02/08/21,0.87486811,29.96
S_P_500_Health_Care,Buy,02/08/21,20,144.05
Global_Clean_Energy,Buy,02/08/21,3,28.33
BT,Buy,02/08/21,16,28.41
Physical_Silver,Buy,02/08/21,2,34.04
US_Tech_Sector,Buy,02/08/21,3,41.82
Physical_Platinum,Buy,02/08/21,2,21.91
Alibaba,Buy,09/08/21,0.24144682,33.96
BT,Buy,09/08/21,10,17.55
Antofagasta,Buy,09/08/21,1,15.17
Physical_Gold,Buy,17/08/21,1,25.4
Shell,Buy,17/08/21,1,14.23
S_P_500_Health_Care,Buy,17/08/21,10,73.77
BT,Buy,17/08/21,17,29.65
BP,Buy,17/08/21,5,15
Physical_Silver,Buy,17/08/21,2,32.27
Walgreen_Boots,Buy,17/08/21,2.36274908,84.86
Alibaba,Buy,17/08/21,0.54423973,69.89
BP,Buy,08/09/21,5,14.89
Shell,Buy,08/09/21,1,14.35
Physical_Silver,Buy,08/09/21,4,65.96
SMT,Buy,08/09/21,4,56.25
BT,Buy,08/09/21,45,73.9
Physical_Gold,Buy,08/09/21,3,76.53
S_P_500_Health_Care,Buy,08/09/21,8,59.54
Intel,Buy,08/09/21,1.27426552,49.92
Alibaba,Buy,08/09/21,0.39,49.92
Walgreen_Boots,Buy,08/09/21,2.62541414,98.32
Cash,In,9/10/2021,,1750
Alibaba,Buy,11/10/21,0.87586123,106.85
Intel,Buy,11/10/21,0.62428597,24.96
Walgreen_Boots,Buy,11/10/21,0.84711518,29.95
Alibaba,Buy,11/10/21,0.81505079,99.85
Physical_Silver,Buy,11/10/21,6,92.43
S_P_500_Health_Care,Buy,11/10/21,21,147.83
Physical_Gold,Buy,11/10/21,4,100.4
Cash,In,11/10/21,,978
Cash,In,19/10/21,,1000
Intel,Buy,21/01/21,2.46338837,99.86
Intel,Buy,22/10/21,2.74854388,99.85
BT,Buy,25/10/21,73,99.81
Intel,Buy,28/10/21,1.42286902,49.92
Walgreen_Boots,Buy,28/10/21,1.45462274,49.92
Alibaba,Buy,29/10/21,0.8211,99.86
Physical_Silver,Buy,29/10/21,3,48.4
Physical_Gold,Buy,29/10/21,2,50.46
Physical_Silver,Buy,04/11/21,3,48.45
Physical_Gold,Buy,04/11/21,2,50.9
Intel,Buy,04/11/21,1.60987802,59.91
Alibaba,Buy,08/11/21,0.6294704,74.89
BT,Buy,08/11/21,46,73.85
Alibaba,Buy,23/11/21,1.4796,149.76
Alibaba,Buy,26/11/21,0.5,49.92
Shell,Buy,26/11/21,6,94.98
BP,Buy,26/11/21,10,32.66
Physical_Platinum,Buy,24/11/21,9,95.39
Intel,Buy,26/11/21,2.03983572,74.9
Cash,In,02/12/2021,,500
Physical_Gold,Buy,30/11/21,2,52.48
Physical_Silver,Buy,30/11/21,2,31.85
SMT,Buy,30/11/21,3,45.5
BP,Buy,30/11/21,10,32.32
Physical_Platinum,Buy,30/11/21,3,30.87
Shell,Buy,30/11/21,2,31.38
BT,Buy,30/11/21,30,48.74
Shell,Buy,02/12/21,2,32.64
Alibaba,Buy,02/12/21,0.53444,49.92
BT,Buy,02/12/21,29,49.48
Alibaba,Buy,03/12/21,1.16757,99.86
Alibaba,Buy,29/12/21,1.205,99.85
Lloyds,Buy,25/02/22,207,99.54
SMT,Buy,25/02/22,5,49.15
Antofagasta,Buy,25/02/22,3,41.73
Intel,Buy,25/02/22,1.43458549,49.92
Alibaba,Buy,25/02/22,0.95194049,74.9
Walgreen_Boots,Buy,25/02/22,1.46243409,49.92
Cash,In,18/03/22,,282
Alibaba,Buy,24/03/22,2.91969373,249.64
Central_Asia_Metals,Buy,24/03/22,68,162.37
Shell,Sell,29/03/22,4,83.18
Antofagasta,Sell,29/03/22,3,52.13
BP,Sell,29/03/22,10,38.58
Physical_Silver,Sell,29/03/22,4,70.33
BT,Sell,29/03/22,32,59.99
Walgreen_Boots,Buy,30/03/22,2.75173867,99.85
Global_Clean_Energy,Buy,30/03/22,10,93.76
Lloyds,Buy,31/03/22,207,99.96
Central_Asia_Metals,Buy,31/03/22,63,149.78
SMT,Buy,31/03/22,20,209.81
Alibaba,Buy,20/04/22,2.1397,149.77
Cash,In,23/04/22,,200
Cash,In,18/05/22,,21.5
Cash,In,05/06/22,,50
Shell,Sell,06/05/22,2,48.24
Shell,Sell,06/05/22,3,72.14
Antofagasta,Sell,06/05/22,1,15.39
BP,Sell,06/05/22,10,44.36
BT,Sell,06/05/22,20,36.94
Physical_Gold,Sell,06/05/22,2,57.42
Babylon,Buy,10/06/22,157,144.5
